temp= None °C, humidity =21.461958129903174 %, pressure = None hpa
temp= 28 °C, humidity =21.461958129903174 %, pressure = None hpa
temp= 25 °C, humidity =21.461958129903174 %, pressure = None hpa
temp= 31 °C, humidity =21.461958129903174 %, pressure = None hpa
temp= 31 °C, humidity =78.8946432419111 %, pressure = None hpa
temp= 31 °C, humidity =78.8946432419111 %, pressure = 943.6127064919015 hpa
temp= 21 °C, humidity =78.8946432419111 %, pressure = 943.6127064919015 hpa
temp= 25 °C, humidity =78.8946432419111 %, pressure = 943.6127064919015 hpa
temp= 25 °C, humidity =20.04993922270602 %, pressure = 943.6127064919015 hpa
temp= 20 °C, humidity =20.04993922270602 %, pressure = 943.6127064919015 hpa
temp= 20 °C, humidity =20.04993922270602 %, pressure = 973.0818008749752 hpa
temp= 20 °C, humidity =20.04993922270602 %, pressure = 973.0818008749752 hpa
temp= 20 °C, humidity =23.51080624955565 %, pressure = 973.0818008749752 hpa
temp= 18 °C, humidity =23.51080624955565 %, pressure = 973.0818008749752 hpa
temp= 16 °C, humidity =23.51080624955565 %, pressure = 973.0818008749752 hpa
temp= 16 °C, humidity =50.46850381224648 %, pressure = 973.0818008749752 hpa
temp= 16 °C, humidity =50.46850381224648 %, pressure = 1056.0082232005907 hpa
temp= 22 °C, humidity =50.46850381224648 %, pressure = 1056.0082232005907 hpa
temp= 33 °C, humidity =50.46850381224648 %, pressure = 1056.0082232005907 hpa
temp= 33 °C, humidity =67.39609130886433 %, pressure = 1056.0082232005907 hpa
temp= 16 °C, humidity =67.39609130886433 %, pressure = 1056.0082232005907 hpa
temp= 16 °C, humidity =67.39609130886433 %, pressure = 1089.2359782142048 hpa
temp= 29 °C, humidity =67.39609130886433 %, pressure = 1089.2359782142048 hpa
temp= 29 °C, humidity =93.94159508258939 %, pressure = 1089.2359782142048 hpa
temp= 38 °C, humidity =93.94159508258939 %, pressure = 1089.2359782142048 hpa
temp= 19 °C, humidity =93.94159508258939 %, pressure = 1089.2359782142048 hpa
temp= 19 °C, humidity =51.198439590704446 %, pressure = 1089.2359782142048 hpa
temp= 19 °C, humidity =51.198439590704446 %, pressure = 947.829946233825 hpa
temp= 30 °C, humidity =51.198439590704446 %, pressure = 947.829946233825 hpa
temp= 26 °C, humidity =51.198439590704446 %, pressure = 947.829946233825 hpa
temp= 26 °C, humidity =63.209492853158046 %, pressure = 947.829946233825 hpa
temp= 34 °C, humidity =63.209492853158046 %, pressure = 947.829946233825 hpa
temp= 34 °C, humidity =63.209492853158046 %, pressure = 900.7501787127459 hpa
temp= 24 °C, humidity =63.209492853158046 %, pressure = 900.7501787127459 hpa
temp= 24 °C, humidity =30.7180246241119 %, pressure = 900.7501787127459 hpa
temp= 28 °C, humidity =30.7180246241119 %, pressure = 900.7501787127459 hpa
temp= 32 °C, humidity =30.7180246241119 %, pressure = 900.7501787127459 hpa
temp= 32 °C, humidity =40.29650922761266 %, pressure = 900.7501787127459 hpa
temp= 32 °C, humidity =40.29650922761266 %, pressure = 901.0033718905165 hpa
temp= 34 °C, humidity =40.29650922761266 %, pressure = 901.0033718905165 hpa
temp= 31 °C, humidity =40.29650922761266 %, pressure = 901.0033718905165 hpa
temp= 31 °C, humidity =35.83777308078783 %, pressure = 901.0033718905165 hpa
temp= 37 °C, humidity =35.83777308078783 %, pressure = 901.0033718905165 hpa
temp= 37 °C, humidity =35.83777308078783 %, pressure = 1031.525880172878 hpa
temp= 23 °C, humidity =35.83777308078783 %, pressure = 1031.525880172878 hpa
temp= 23 °C, humidity =68.9605458210361 %, pressure = 1031.525880172878 hpa
temp= 24 °C, humidity =68.9605458210361 %, pressure = 1031.525880172878 hpa
temp= 19 °C, humidity =68.9605458210361 %, pressure = 1031.525880172878 hpa
temp= 19 °C, humidity =74.17378972397884 %, pressure = 1031.525880172878 hpa
temp= 19 °C, humidity =74.17378972397884 %, pressure = 1065.6340545927446 hpa
temp= 34 °C, humidity =74.17378972397884 %, pressure = 1065.6340545927446 hpa
temp= 21 °C, humidity =74.17378972397884 %, pressure = 1065.6340545927446 hpa
temp= 21 °C, humidity =28.49939697740099 %, pressure = 1065.6340545927446 hpa
temp= 31 °C, humidity =28.49939697740099 %, pressure = 1065.6340545927446 hpa
temp= 31 °C, humidity =28.49939697740099 %, pressure = 1064.9653714280153 hpa
